,"Relaxed, Calm","Proud, Grand","Nourishing, Fullfilled","Attentive, Concentrating","Sad, Downhearted","Afraid, Frightened","Upset, Distressed","Inspired, Amazed","Energised, Excited","Happy, Cheerful","Determined, Confident","Safe, Cosy","Ashamed, Guilty","Shy, Bashful","Hostile, Angry"
Q25,0.21428571428571427,0.11688311688311688,0.1038961038961039,0.1038961038961039,0.1038961038961039,0.07792207792207792,0.05194805194805195,0.045454545454545456,0.03896103896103896,0.03896103896103896,0.032467532467532464,0.025974025974025976,0.012987012987012988,0.012987012987012988,0.006493506493506494
Q28,0.16233766233766234,0.13636363636363635,0.07792207792207792,0.12987012987012986,0.09740259740259741,0.05194805194805195,0.06493506493506493,0.08441558441558442,0.03896103896103896,0.03896103896103896,0.01948051948051948,0.01948051948051948,0.012987012987012988,0.025974025974025976,0.025974025974025976
Q31,0.15584415584415584,0.12337662337662338,0.03896103896103896,0.13636363636363635,0.15584415584415584,0.07792207792207792,0.05194805194805195,0.09090909090909091,0.025974025974025976,0.032467532467532464,0.025974025974025976,0.01948051948051948,,0.025974025974025976,0.025974025974025976
Q34,0.22727272727272727,0.05194805194805195,0.06493506493506493,0.12337662337662338,0.06493506493506493,0.05844155844155844,0.06493506493506493,0.07792207792207792,0.05194805194805195,0.05194805194805195,0.012987012987012988,0.045454545454545456,0.012987012987012988,0.01948051948051948,0.05844155844155844
Q37,0.2077922077922078,0.1038961038961039,0.032467532467532464,0.18181818181818182,0.05844155844155844,0.07142857142857142,0.025974025974025976,0.12337662337662338,0.012987012987012988,0.05844155844155844,0.032467532467532464,0.012987012987012988,0.012987012987012988,0.006493506493506494,0.045454545454545456
Q40,0.17532467532467533,0.09740259740259741,0.13636363636363635,0.11038961038961038,0.03896103896103896,0.025974025974025976,0.05194805194805195,0.1038961038961039,0.025974025974025976,0.05844155844155844,0.025974025974025976,0.06493506493506493,0.045454545454545456,0.01948051948051948,0.006493506493506494
Q43,0.16993464052287582,0.0784313725490196,0.0457516339869281,0.17647058823529413,0.0915032679738562,0.06535947712418301,0.0718954248366013,0.0784313725490196,0.0392156862745098,0.05228758169934641,0.0196078431372549,0.032679738562091505,0.006535947712418301,0.032679738562091505,0.026143790849673203
Q46,0.1111111111111111,0.1111111111111111,0.032679738562091505,0.2222222222222222,0.0915032679738562,0.0718954248366013,0.058823529411764705,0.09803921568627451,0.0196078431372549,0.0196078431372549,0.032679738562091505,0.0392156862745098,0.006535947712418301,0.0196078431372549,0.05228758169934641
Q49,0.21568627450980393,0.05228758169934641,0.08496732026143791,0.1568627450980392,0.05228758169934641,0.0392156862745098,0.0457516339869281,0.1111111111111111,0.0457516339869281,0.0457516339869281,,0.05228758169934641,0.006535947712418301,0.0457516339869281,0.032679738562091505
Q52,0.23684210526315788,0.039473684210526314,0.03289473684210526,0.125,0.10526315789473684,0.07236842105263158,0.05263157894736842,0.08552631578947369,0.06578947368421052,0.02631578947368421,0.02631578947368421,0.06578947368421052,0.013157894736842105,0.013157894736842105,0.02631578947368421
Q55,0.16993464052287582,0.0457516339869281,0.032679738562091505,0.19607843137254902,0.08496732026143791,0.06535947712418301,0.05228758169934641,0.1111111111111111,0.06535947712418301,0.0457516339869281,0.032679738562091505,0.032679738562091505,0.006535947712418301,0.032679738562091505,0.013071895424836602
Q58,0.16233766233766234,0.032467532467532464,0.07142857142857142,0.09740259740259741,0.11038961038961038,0.07792207792207792,0.05844155844155844,0.07792207792207792,0.045454545454545456,0.05844155844155844,0.045454545454545456,0.07792207792207792,0.006493506493506494,0.032467532467532464,0.032467532467532464
Q61,0.1568627450980392,0.12418300653594772,0.0196078431372549,0.1830065359477124,0.11764705882352941,0.05228758169934641,0.058823529411764705,0.058823529411764705,0.05228758169934641,0.032679738562091505,0.026143790849673203,0.0457516339869281,0.026143790849673203,0.006535947712418301,0.026143790849673203
Q64,0.17647058823529413,0.1503267973856209,0.026143790849673203,0.12418300653594772,0.0915032679738562,0.05228758169934641,0.05228758169934641,0.0915032679738562,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.0457516339869281,0.026143790849673203,0.032679738562091505,0.0196078431372549
Q67,0.22727272727272727,0.07792207792207792,0.03896103896103896,0.14285714285714285,0.09090909090909091,0.06493506493506493,0.03896103896103896,0.09740259740259741,0.032467532467532464,0.07792207792207792,0.01948051948051948,0.01948051948051948,0.006493506493506494,0.01948051948051948,0.032467532467532464
Q70,0.20915032679738563,0.10457516339869281,0.0392156862745098,0.16339869281045752,0.06535947712418301,0.0392156862745098,0.026143790849673203,0.09803921568627451,0.0718954248366013,0.0457516339869281,0.0196078431372549,0.032679738562091505,0.026143790849673203,0.013071895424836602,0.032679738562091505
Q73,0.11688311688311688,0.07792207792207792,0.05194805194805195,0.14935064935064934,0.09090909090909091,0.05194805194805195,0.05194805194805195,0.14285714285714285,0.045454545454545456,0.09090909090909091,0.01948051948051948,0.06493506493506493,,,0.032467532467532464
Q76,0.1111111111111111,0.09803921568627451,0.05228758169934641,0.19607843137254902,0.09803921568627451,0.032679738562091505,0.058823529411764705,0.11764705882352941,0.0392156862745098,0.032679738562091505,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.026143790849673203,0.0457516339869281
Q79,0.16883116883116883,0.05844155844155844,0.08441558441558442,0.12987012987012986,0.07792207792207792,0.07142857142857142,0.032467532467532464,0.11038961038961038,0.032467532467532464,0.09740259740259741,0.01948051948051948,0.05194805194805195,0.006493506493506494,0.01948051948051948,0.025974025974025976
Q82,0.16233766233766234,0.12337662337662338,0.07142857142857142,0.14935064935064934,0.045454545454545456,0.06493506493506493,0.025974025974025976,0.11688311688311688,0.05194805194805195,0.03896103896103896,0.03896103896103896,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.032467532467532464
